Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Customer Segment,Device Used,Delivery Delay (Days),Customer Satisfaction Comment
488,47,M,Shoes ,Gadgets,1904,USA,,White,Summer,3.4,Active,Pickup,TRUE,WELCOME,16,Cash,,VIP,Tablet,12,Late delivery
489,67,Male,Shoes ,Clothing,1029,France,XXL,Green,Winter,3.6,Inactive,Standard,TRUE,,28,card,High,,Desktop,0,Bad
490,45,F,Watch,Gadgets,556,China,XL,Black,Harmattan,2.1,,,Yes,WELCOME,1,Transfer,Low,Returning,mobile,9,Late delivery
491,62,Male,Watch,Accessories,281,Canada,m,red,,1.7,,Same Day,FALSE,SALE20,48,,Very High,Churn Risk,Desktop,0,Late delivery
492,50,Female,Bag,Fashion,763,Canada,,Green,Winter,4.3,,Same Day,Yes,NONE,40,,,Returning,Mobile,14,Bad
493,55,,Shirt,Accessories,1967,USA,m,Green,Autumn,2.4,Yes,Pickup,FALSE,SALE20,24,Cash,Medium,Returning,,5,Bad
494,67,Male,Headset,,1166,Germany,m,Red,Harmattan,1.2,Active,Pickup,FALSE,PROMO10,37,Crypto,Very High,,Desktop,4,Will buy again
495,31,,Shoes ,Fashion,326,China,XXL,Red,Spring,4.4,Active,Express,,NONE,31,Card,Medium,Churn Risk,Desktop,4,
496,28,Male,,Fashion,1557,Nigeria,,White,,3.9,Active,,FALSE,WELCOME,18,card,High,Returning,Mobile,5,Good
497,65,F,Watch,Gadgets,1664,USA,m,White,Spring,3.9,,,No,SALE20,16,Crypto,Very High,Returning,mobile,4,
498,57,M,Phone,Fashion,913,Nigeria,,red,Harmattan,3.6,Yes,,No,WELCOME,19,Card,High,VIP,Mobile,10,
499,45,M,Laptop,Clothing,1631,Canada,L,,Summer,2.7,Inactive,,,SALE20,16,Transfer,High,,Tablet,9,Late delivery
500,34,,Shoes,Accessories,250,India,M,Blue,Spring,4.6,Active,,TRUE,WELCOME,12,Card,High,New,Mobile,0,Will buy again
501,32,F,shirt,Fashion,1005,UK,XL,red,Winter,2.5,Yes,Standard,TRUE,NONE,32,,Low,,,0,
502,34,F,,Gadgets,1524,China,XL,Red,Spring,2.1,Active,Express,,SALE20,0,card,Very High,Returning,Tablet,1,Excellent
503,43,F,Laptop,Gadgets,480,France,XL,red,Spring,3.2,,Pickup,FALSE,SALE20,31,Cash,Medium,New,Desktop,-2,Will buy again
504,41,Female,Shirt,Gadgets,1141,USA,XXL,Black,Winter,2.9,Yes,Pickup,FALSE,PROMO10,16,card,,Returning,mobile,11,Will buy again
505,52,Other,Laptop,Electronics,130,,XL,red,Spring,1.1,Yes,Same Day,,PROMO10,4,Transfer,Medium,Returning,mobile,7,Good
506,41,Male,Phone,Accessories,270,,XXL,Blue,Winter,2.1,No,,,NONE,43,,High,VIP,,7,
507,68,F,Shirt,Gadgets,1269,India,,,Spring,2.5,Active,Pickup,No,NONE,46,Transfer,Medium,New,Mobile,6,
508,38,F,Headset,Clothing,1976,China,XXL,Black,Autumn,4.2,Yes,Express,TRUE,,15,,Medium,Returning,Tablet,2,Bad
509,24,F,Bag,Gadgets,142,Nigeria,,Red,Winter,2.6,,Same Day,,NONE,15,Cash,,Churn Risk,Mobile,14,Excellent
510,27,M,Shoes ,Electronics,1274,France,,Black,,4.8,No,Express,No,PROMO10,11,card,High,,,0,
511,68,F,Laptop,Accessories,1266,,m,Black,,4.0,Active,Pickup,Yes,PROMO10,34,card,Very High,Churn Risk,,12,Good
512,16,Male,Phone,Fashion,1331,France,L,Red,,4.3,,Same Day,No,WELCOME,24,Transfer,Medium,New,,11,Good
513,16,F,Bag,Accessories,525,UK,m,Red,,4.6,Yes,Standard,,WELCOME,12,Crypto,Very High,New,,-1,
514,62,Male,Phone,Fashion,1074,USA,XXL,Green,Spring,1.8,Active,Same Day,No,SALE20,43,Card,,,,14,Late delivery
515,49,Female,shirt,Fashion,1401,China,m,Black,Summer,4.2,No,Pickup,TRUE,PROMO10,36,card,Low,New,Tablet,1,Will buy again
516,47,Other,Shirt,Gadgets,1899,Canada,S,Blue,Autumn,1.8,Yes,,TRUE,PROMO10,43,,,,Desktop,2,
517,69,M,Headset,,1152,Nigeria,XL,red,,3.2,Yes,Standard,No,,17,Card,High,New,,-2,Late delivery
518,63,Male,,Clothing,1096,China,M,White,,2.2,No,Standard,,WELCOME,6,Crypto,Medium,New,mobile,8,Late delivery
519,40,,Shoes ,Clothing,881,Nigeria,XL,red,Autumn,3.0,Active,Express,TRUE,NONE,34,card,Low,,Desktop,12,Excellent
520,55,Female,Bag,,1466,USA,S,,Summer,1.8,Inactive,Express,TRUE,,47,Card,Medium,Churn Risk,mobile,8,Late delivery
521,60,Other,Laptop,Gadgets,506,Nigeria,,Green,,4.8,,Standard,FALSE,,12,Cash,,,mobile,2,Late delivery
522,68,Other,,Electronics,1352,China,m,red,Autumn,3.7,Yes,Standard,FALSE,PROMO10,29,Cash,Medium,Churn Risk,Mobile,10,Bad
523,16,Other,Shirt,Fashion,648,UK,XXL,White,Winter,2.0,No,,Yes,SALE20,46,card,Medium,VIP,,5,Excellent
524,31,Male,,,1389,,m,Blue,Autumn,1.9,,,No,NONE,21,Card,Very High,VIP,Desktop,3,
525,54,Female,shirt,Clothing,1999,India,L,Blue,Harmattan,1.6,No,Pickup,No,WELCOME,17,Cash,High,,mobile,8,Will buy again
526,20,F,Bag,Accessories,1413,France,XXL,Red,Spring,4.1,Yes,,No,,17,Card,Very High,,Tablet,8,Good
527,37,,shirt,Electronics,753,France,L,Black,Autumn,2.9,Yes,Pickup,,PROMO10,31,card,,,,-1,
528,44,Female,Headset,Gadgets,1753,Nigeria,M,Red,Spring,4.6,Yes,,No,PROMO10,6,Card,Medium,,mobile,3,Bad
529,18,Female,Watch,Electronics,1599,China,XL,Black,,1.0,Inactive,Express,,NONE,34,,,VIP,Mobile,5,Excellent
530,27,Female,Bag,Clothing,1693,UK,,Green,Spring,3.0,Inactive,Pickup,TRUE,NONE,0,,Low,Churn Risk,Tablet,-2,Bad
531,41,Male,Headset,,909,UK,XXL,Red,Winter,2.9,Active,Same Day,,PROMO10,40,Crypto,Very High,Returning,Desktop,1,
532,31,,Bag,Gadgets,1821,UK,L,Red,Winter,4.9,Yes,,FALSE,PROMO10,31,card,Medium,VIP,mobile,-1,Late delivery
533,66,Male,Watch,Clothing,1622,,L,Blue,Autumn,3.9,,Pickup,,,47,,,VIP,Desktop,13,Bad
534,52,,Shoes ,Fashion,459,Germany,S,Black,Harmattan,3.2,Active,Pickup,No,NONE,35,card,,,Desktop,3,Late delivery
535,37,,Phone,Electronics,1778,USA,S,,Harmattan,3.3,Active,Pickup,TRUE,,13,Card,,Churn Risk,,11,Late delivery
536,44,Male,Bag,,1438,Canada,XL,Blue,Winter,3.8,Active,Pickup,Yes,NONE,2,Transfer,Low,Returning,mobile,12,Bad
537,29,,Watch,Fashion,828,India,L,Red,,4.7,Inactive,Pickup,No,PROMO10,22,Crypto,,,mobile,0,Will buy again
538,43,Female,Shoes ,Accessories,1077,Nigeria,M,Black,Winter,1.3,,,FALSE,SALE20,27,,High,Churn Risk,Tablet,6,
539,20,Male,,Fashion,1605,USA,L,Black,Summer,1.3,,Same Day,FALSE,,18,Card,Very High,New,mobile,13,Will buy again
540,62,,Bag,Electronics,705,China,L,red,,1.8,,,FALSE,WELCOME,22,Card,Medium,,mobile,6,
541,64,Other,Phone,Accessories,525,China,XXL,Green,Spring,2.8,Active,Same Day,FALSE,,33,Crypto,High,VIP,Desktop,8,Will buy again
542,45,Male,shirt,Clothing,398,UK,XXL,Blue,Spring,2.4,Yes,Pickup,,,46,card,Very High,Returning,Desktop,-1,Good
543,61,M,,,884,Germany,S,red,Spring,1.2,No,Pickup,,SALE20,45,,,New,Desktop,14,
544,67,Male,,Accessories,399,China,XXL,Green,,3.4,Inactive,Pickup,TRUE,PROMO10,12,Cash,Very High,VIP,Desktop,5,Late delivery
545,20,Male,Bag,Electronics,100,,L,red,,4.4,Yes,Express,No,PROMO10,33,Transfer,Low,VIP,Tablet,10,Bad
546,27,Male,Shirt,Gadgets,89,USA,XXL,Blue,Summer,1.2,Active,,No,WELCOME,5,Card,High,VIP,Desktop,10,
547,31,,Shoes ,Accessories,1064,China,S,Blue,Spring,3.1,Active,Same Day,,PROMO10,9,Crypto,,,Mobile,9,Good
548,41,Male,Headset,Clothing,956,UK,XL,,Harmattan,4.9,No,,FALSE,NONE,3,card,Very High,,mobile,1,Bad
549,41,M,shirt,Accessories,420,,m,Black,,1.2,Yes,Pickup,TRUE,NONE,39,,Very High,Returning,mobile,-2,
550,63,F,Laptop,,599,Germany,M,Black,Spring,2.2,,Same Day,FALSE,WELCOME,43,card,High,Returning,Tablet,3,Bad
551,36,Male,Bag,Fashion,1996,Germany,m,White,,2.8,Inactive,Express,,,34,card,,VIP,Mobile,8,Bad
552,54,Other,,Gadgets,679,Canada,m,Red,,1.7,No,Pickup,No,SALE20,23,Crypto,Very High,New,Mobile,7,Good
553,51,M,Phone,Electronics,730,China,L,Green,Winter,3.2,,Pickup,No,,47,Card,,,Desktop,6,Will buy again
554,48,F,Shoes,Gadgets,1928,Nigeria,M,White,,4.4,Active,Standard,FALSE,WELCOME,26,Transfer,Low,Returning,Tablet,11,Will buy again
555,45,,Phone,Fashion,225,France,m,Green,Summer,2.5,No,,Yes,PROMO10,48,Transfer,,Churn Risk,Tablet,0,Will buy again
556,52,Male,Bag,Gadgets,1858,India,m,Green,Autumn,1.0,,,No,WELCOME,36,card,Low,New,Tablet,11,
557,38,F,Shoes,Fashion,1347,China,,Red,Winter,3.5,Yes,Same Day,TRUE,,44,Transfer,Medium,New,mobile,11,Late delivery
558,25,Other,Bag,,483,Canada,XL,Green,Summer,4.5,Active,Standard,FALSE,WELCOME,40,Card,Medium,VIP,mobile,4,Excellent
559,69,M,Phone,Accessories,396,,,Green,Spring,4.2,No,Pickup,TRUE,WELCOME,11,Card,High,,Desktop,11,Bad
560,20,M,Phone,Electronics,1147,UK,L,red,,3.6,Yes,Same Day,,,28,Cash,Low,Returning,Mobile,4,Bad
561,51,,,Fashion,1616,China,M,Black,,4.1,Inactive,Standard,,PROMO10,1,Crypto,Very High,Churn Risk,Mobile,-2,Good
562,49,,Shoes ,Fashion,1097,Germany,XL,Black,Spring,2.3,Active,Same Day,FALSE,SALE20,44,Cash,,New,,14,Bad
563,67,,Shoes,Accessories,449,Germany,L,Black,Harmattan,2.9,,Standard,,WELCOME,6,Cash,,Returning,Tablet,12,Excellent
564,46,F,Headset,Fashion,1122,India,,Red,Spring,2.5,No,Pickup,TRUE,WELCOME,39,Crypto,Low,,Mobile,2,Excellent
565,25,Male,Phone,Electronics,323,Germany,XL,Black,Spring,1.2,No,Pickup,No,SALE20,3,card,Very High,VIP,Desktop,13,
566,34,Female,Bag,Clothing,1345,India,m,White,Spring,2.0,No,Pickup,FALSE,NONE,2,card,Very High,New,Desktop,7,Late delivery
567,47,M,Laptop,Gadgets,1895,,L,,Spring,3.0,Active,Standard,TRUE,SALE20,33,Transfer,Low,,,5,
568,16,Female,Bag,,297,Germany,,White,Harmattan,3.6,No,,TRUE,SALE20,9,Crypto,High,Returning,Mobile,5,Good
569,20,M,Shoes ,,770,USA,L,White,,1.1,Active,Same Day,No,,47,card,Low,New,Mobile,5,Good
570,60,,Laptop,Fashion,520,France,m,Red,,4.7,,Express,TRUE,,45,card,Very High,New,,9,Will buy again
571,19,Male,Bag,Gadgets,1084,,XL,,Harmattan,3.4,Active,Express,,NONE,13,Card,Medium,VIP,Tablet,5,Bad
572,31,Male,Shirt,,1583,,,Blue,Spring,4.3,Active,Pickup,No,WELCOME,21,Cash,Low,New,Mobile,2,
573,39,M,Bag,Gadgets,1305,Germany,S,Blue,Harmattan,1.7,Active,Standard,Yes,WELCOME,43,Transfer,,,mobile,0,
574,31,F,Headset,,574,USA,,White,Harmattan,3.5,Active,,TRUE,PROMO10,46,,High,Churn Risk,,9,
575,17,,Watch,Clothing,766,France,M,Blue,,1.3,No,Same Day,,,40,Transfer,,,Desktop,6,Will buy again
576,64,Male,,Fashion,148,Canada,S,Green,Winter,2.8,Inactive,Same Day,,PROMO10,22,Crypto,Low,Returning,Mobile,4,Bad
577,43,Male,Phone,Electronics,313,Canada,XXL,Red,Autumn,3.8,Active,,No,SALE20,32,Crypto,,New,Tablet,8,
578,47,Other,Shoes ,Fashion,22,UK,M,White,Autumn,3.6,Active,Same Day,,NONE,19,,Very High,Churn Risk,Tablet,12,
579,42,Male,Shoes,Gadgets,829,Nigeria,L,red,Autumn,1.9,No,Standard,No,SALE20,21,Transfer,Low,Churn Risk,Desktop,3,
580,35,Other,Bag,Accessories,1379,,m,White,Harmattan,1.4,No,Express,Yes,,47,Cash,High,Returning,Tablet,11,
581,39,Male,Shirt,Clothing,1194,France,M,,Autumn,2.4,Active,Express,No,NONE,20,card,High,,mobile,11,Excellent
582,27,Male,Shirt,Electronics,895,UK,M,White,,3.4,Inactive,,No,WELCOME,6,Transfer,,,mobile,6,
583,65,F,Shoes,Electronics,1572,Nigeria,XXL,Green,Winter,1.4,Inactive,Standard,No,SALE20,0,Cash,Low,VIP,,-1,Bad
584,50,F,Phone,Gadgets,1140,France,,red,Autumn,4.3,No,,,,38,card,Medium,Returning,mobile,7,Excellent
585,48,,Phone,Electronics,229,Canada,m,Black,Spring,3.0,Yes,,Yes,WELCOME,15,Transfer,,New,Mobile,9,Late delivery
586,48,Male,Bag,Gadgets,1815,Nigeria,,White,Harmattan,4.4,Inactive,,Yes,SALE20,30,,,VIP,Desktop,10,Late delivery
587,66,,shirt,Electronics,856,Canada,S,red,Spring,3.6,Yes,Pickup,No,PROMO10,30,Card,Very High,,mobile,13,Bad
588,58,,Watch,Electronics,1844,USA,L,Blue,Summer,4.9,Active,Express,TRUE,WELCOME,25,Transfer,Low,Returning,Desktop,12,Excellent
589,52,,,,1102,UK,M,Black,Harmattan,3.0,No,,TRUE,WELCOME,28,Cash,Medium,Returning,Tablet,14,Good
590,27,,Watch,,158,India,S,Green,Spring,3.9,,Express,No,NONE,4,Crypto,,New,,14,
591,18,M,,Gadgets,114,India,XXL,,Summer,3.0,Yes,Pickup,TRUE,SALE20,22,card,Low,VIP,,13,
592,16,M,Watch,Clothing,342,Germany,S,White,Winter,1.7,Yes,Standard,TRUE,NONE,18,Cash,High,New,mobile,11,
593,48,Male,Shirt,Electronics,1969,USA,XXL,Black,,1.4,Yes,,No,SALE20,1,,Medium,Returning,mobile,10,
594,55,M,,Fashion,511,,m,White,Spring,1.9,No,Same Day,,PROMO10,10,card,High,VIP,,13,
595,25,Male,,Accessories,177,,M,White,Autumn,3.3,No,Express,No,,47,Card,Low,Returning,mobile,12,Excellent
596,58,F,Shoes ,,1022,,L,,Winter,4.3,,Same Day,FALSE,SALE20,38,card,Low,Returning,Mobile,9,
597,59,Female,Watch,Gadgets,1811,France,S,,Winter,1.6,,Express,TRUE,NONE,16,card,Very High,,Desktop,2,
598,44,Other,Bag,Electronics,1174,Nigeria,,Green,Summer,4.7,Active,Same Day,No,WELCOME,49,Crypto,Medium,VIP,Tablet,3,Excellent
599,28,M,,,803,France,XXL,Blue,Spring,2.9,,Same Day,,WELCOME,17,Transfer,Medium,Returning,Tablet,11,
600,27,M,shirt,Clothing,403,China,L,Green,Autumn,3.0,Inactive,Express,Yes,WELCOME,30,Card,High,Returning,Desktop,3,Good
601,46,F,Shirt,,106,Canada,,Green,Harmattan,1.1,Inactive,Express,,SALE20,40,Cash,High,VIP,Tablet,5,Good
602,61,M,Headset,Fashion,993,France,M,Blue,Harmattan,4.9,Yes,Standard,TRUE,,33,Transfer,Medium,,Desktop,7,Good
603,17,Male,Bag,Gadgets,1555,China,S,Black,Spring,1.2,No,Pickup,FALSE,SALE20,27,Cash,Medium,VIP,,5,Good
604,66,Male,Watch,Fashion,1277,France,XL,Green,Spring,2.2,,Express,FALSE,NONE,41,Card,Very High,VIP,Tablet,9,Bad
605,65,Female,Phone,,1605,Canada,,White,,3.5,Inactive,Same Day,TRUE,WELCOME,16,card,Medium,New,Tablet,13,Late delivery
606,50,Female,Watch,Accessories,489,India,L,Green,,3.6,No,Pickup,FALSE,NONE,31,Card,Low,,mobile,8,Good
607,38,Female,Shoes ,Clothing,1389,Germany,S,Blue,Summer,2.7,,,Yes,PROMO10,37,card,Low,New,Tablet,6,
608,32,Male,Bag,Gadgets,178,Nigeria,,Black,Harmattan,4.5,Active,Pickup,No,WELCOME,22,,Very High,Churn Risk,Mobile,2,Bad
609,41,,Shirt,Gadgets,1871,UK,XXL,Blue,Autumn,2.3,Inactive,Express,TRUE,NONE,28,Transfer,High,,Tablet,12,Late delivery
610,23,,Shoes ,Electronics,1386,UK,XL,White,Autumn,1.6,,Pickup,,,37,card,High,New,Mobile,-1,Excellent
611,44,Female,Shoes,Fashion,916,Nigeria,L,Black,Autumn,1.2,No,Pickup,TRUE,SALE20,21,Transfer,,,,7,
612,41,Female,Shirt,Gadgets,1467,Canada,m,Green,Summer,1.5,Yes,Pickup,TRUE,WELCOME,3,Crypto,Very High,,Tablet,11,
613,25,Male,,Fashion,1058,USA,m,Black,Autumn,4.8,,Express,TRUE,,47,Crypto,Very High,Churn Risk,Desktop,1,
614,41,F,Shoes,Accessories,1505,Nigeria,XL,,Autumn,2.2,,Express,,NONE,43,Card,Low,New,,14,Late delivery
615,49,M,Phone,Electronics,557,France,L,Green,Harmattan,3.6,Active,Express,,PROMO10,28,card,Low,New,Tablet,-2,
616,66,Other,Shoes ,Accessories,71,India,m,Green,,4.9,Inactive,,TRUE,SALE20,1,,,VIP,,4,Excellent
617,56,,Shirt,Electronics,492,Canada,,Red,,4.5,No,Express,TRUE,SALE20,19,card,,VIP,Mobile,8,
618,22,,Laptop,Electronics,789,Germany,M,Green,Autumn,3.0,Yes,,FALSE,SALE20,10,card,Low,Churn Risk,,11,Will buy again
619,19,Male,Laptop,Fashion,1566,,m,Green,Spring,1.3,Active,,FALSE,,25,Card,Low,,Tablet,6,Excellent
620,68,Male,Headset,,1146,China,XXL,Green,Spring,3.9,Inactive,Standard,,WELCOME,43,Cash,Medium,New,Mobile,8,
621,65,Other,Shoes,Electronics,845,USA,XXL,Red,Winter,1.5,,Pickup,,SALE20,11,Transfer,,,Mobile,3,Will buy again
622,60,Other,shirt,Accessories,725,UK,M,Black,Summer,1.6,Active,Pickup,FALSE,WELCOME,25,,Medium,,mobile,13,Excellent
623,26,Female,Bag,,1385,,L,Red,Harmattan,4.5,Active,Same Day,No,,9,Transfer,Medium,New,,11,
624,44,Other,Watch,Accessories,252,Germany,L,red,Winter,3.7,Yes,Same Day,,,49,Card,Medium,New,Mobile,-1,Bad
625,51,M,,,1988,Nigeria,XXL,Blue,Winter,4.7,Yes,Standard,No,NONE,46,Transfer,Low,Churn Risk,Mobile,14,Late delivery
626,40,M,Phone,Accessories,1123,,S,Green,Summer,4.8,,Standard,Yes,WELCOME,42,,Very High,Churn Risk,Tablet,-1,Late delivery
627,36,,Laptop,Fashion,1342,China,m,Red,,2.8,Yes,Pickup,FALSE,SALE20,47,Cash,Low,Churn Risk,Tablet,1,Late delivery
628,51,M,shirt,Fashion,1635,India,,,Summer,3.7,No,Express,TRUE,SALE20,2,card,Low,New,,3,Will buy again
629,25,M,shirt,Clothing,463,India,L,red,Winter,3.6,Active,Same Day,Yes,SALE20,15,,High,VIP,Mobile,10,
630,52,M,Shoes,Gadgets,1130,China,M,,Autumn,1.5,No,Express,,,18,Card,Medium,Returning,,9,Excellent
631,24,Female,Headset,Clothing,730,Canada,XXL,Red,Spring,3.5,Yes,Same Day,Yes,SALE20,12,Cash,Low,Returning,Tablet,8,Good
632,39,,,Clothing,1010,India,,red,Winter,1.4,No,Pickup,Yes,WELCOME,46,Transfer,Medium,New,Tablet,-2,Late delivery
633,50,Male,shirt,Electronics,1159,China,M,Black,,4.4,Active,Standard,,NONE,8,card,Low,Returning,Desktop,6,Late delivery
634,64,,Phone,Electronics,380,UK,M,Black,Summer,4.7,Yes,Standard,No,,4,Card,Medium,,Desktop,8,Bad
635,50,,Shoes,Clothing,898,USA,L,,Winter,2.6,Yes,Express,Yes,SALE20,31,card,Very High,,,12,Late delivery
636,63,,Shoes ,Gadgets,885,USA,m,red,Spring,3.8,Yes,Pickup,,PROMO10,6,Crypto,Very High,New,,12,Late delivery
637,51,Other,Phone,Clothing,1440,India,M,Black,,3.8,,Express,TRUE,SALE20,9,,Low,,Tablet,13,Will buy again
638,33,Male,Watch,Fashion,484,,XXL,White,Harmattan,1.2,Active,,TRUE,PROMO10,7,Crypto,Medium,Returning,Tablet,13,Will buy again
639,64,Other,Headset,Accessories,648,China,S,Black,Spring,1.7,No,Pickup,TRUE,NONE,16,Card,High,New,Mobile,0,Late delivery
640,54,Female,,Clothing,940,India,XXL,red,Harmattan,4.5,Inactive,Same Day,FALSE,WELCOME,23,,High,New,Tablet,-1,Will buy again
641,47,Female,Headset,Electronics,106,,XL,Green,Summer,1.8,Inactive,Pickup,FALSE,,27,card,High,,,9,Late delivery
642,39,F,Headset,Gadgets,1999,Canada,XXL,,Harmattan,4.0,Inactive,Same Day,FALSE,SALE20,32,Cash,High,,Tablet,9,Good
643,38,F,Shoes,Electronics,61,India,XL,Red,Autumn,3.4,,Standard,Yes,,34,Cash,High,Returning,,3,
644,47,Female,Headset,Fashion,1221,Germany,L,Blue,Winter,3.9,Yes,Express,FALSE,NONE,7,Transfer,,VIP,mobile,0,
645,52,Female,Bag,,435,Nigeria,XL,Blue,Winter,1.6,Active,,TRUE,NONE,47,,Medium,New,Desktop,4,Bad
646,27,Other,Phone,Electronics,771,Canada,S,,Autumn,4.2,Active,,FALSE,,11,,Very High,Churn Risk,mobile,14,Excellent
647,64,Female,,,468,Nigeria,,,,2.5,Yes,Standard,FALSE,SALE20,32,Crypto,,,Desktop,5,
648,28,Male,Phone,Electronics,166,Nigeria,,Blue,Spring,5.0,Inactive,Standard,,SALE20,19,,Medium,Returning,Desktop,7,
649,38,Other,Shoes ,Gadgets,1969,India,L,,Summer,2.7,No,Same Day,FALSE,,11,card,Low,Returning,Mobile,3,Excellent
650,40,Female,Headset,,36,UK,,,Autumn,2.3,Active,,Yes,WELCOME,12,card,High,Churn Risk,,12,Will buy again
651,50,Other,Headset,Gadgets,1200,,,Green,Winter,1.6,Yes,Same Day,TRUE,,21,Transfer,Low,Returning,mobile,8,Excellent
652,56,Other,Watch,Electronics,1010,India,S,Red,Harmattan,1.3,Inactive,Same Day,Yes,,41,Cash,,Churn Risk,Desktop,10,Excellent
653,45,M,Headset,Electronics,101,France,,White,Spring,4.5,,Same Day,No,PROMO10,29,card,Low,Churn Risk,Desktop,4,Good
654,32,F,Headset,Clothing,143,USA,XL,red,Spring,1.5,,,TRUE,WELCOME,33,,,VIP,,9,
655,64,Other,Phone,Fashion,296,Germany,L,White,Autumn,4.5,Inactive,,FALSE,SALE20,31,Crypto,Very High,New,Tablet,9,Good
656,35,,Phone,,145,China,XL,Black,Winter,3.2,Inactive,Same Day,No,NONE,14,,Very High,Returning,,3,Will buy again
657,63,Other,Laptop,Clothing,1341,Canada,M,,Winter,3.6,Inactive,Same Day,No,WELCOME,38,,Low,Churn Risk,Mobile,6,Good
658,40,,Laptop,Gadgets,984,China,S,White,Summer,4.2,Yes,Express,FALSE,,34,card,Medium,VIP,Mobile,14,Late delivery
659,37,M,Phone,Clothing,1693,,M,Red,Summer,3.2,No,Standard,No,,40,Transfer,Low,Churn Risk,Desktop,13,Good
660,28,Female,,Clothing,202,China,S,Black,Autumn,3.0,No,Standard,Yes,PROMO10,35,Crypto,Very High,Churn Risk,,5,Excellent
661,34,Other,shirt,,1449,France,S,Green,,4.1,No,Express,,SALE20,1,Cash,Low,VIP,Mobile,10,
662,64,M,Watch,Electronics,1886,USA,L,red,Autumn,2.7,Yes,,Yes,WELCOME,13,Cash,Very High,New,Tablet,8,
663,51,Male,Shoes ,Electronics,136,China,m,red,Winter,1.3,,,TRUE,NONE,44,Crypto,,New,Mobile,11,Bad
664,27,M,shirt,,369,Canada,M,red,,3.5,Yes,Standard,Yes,PROMO10,44,Crypto,High,New,Tablet,7,Good
665,56,F,Laptop,Fashion,542,Nigeria,XL,Blue,Autumn,1.1,Yes,Express,,,32,Card,Very High,,Tablet,7,Good
666,34,F,Headset,Accessories,1494,Germany,L,Blue,Spring,3.4,Yes,Pickup,FALSE,,18,,Very High,Returning,Desktop,10,Bad
667,27,Female,Phone,Accessories,1297,UK,m,Black,Harmattan,3.0,Inactive,Express,FALSE,,37,card,Very High,New,Desktop,-1,
668,24,,Laptop,,76,UK,S,Black,Winter,2.2,Inactive,,No,WELCOME,20,Card,,Returning,Mobile,2,Excellent
669,22,Female,Headset,,1975,India,XL,Black,Spring,2.4,,,No,PROMO10,3,Crypto,,Returning,mobile,2,Good
670,43,,Bag,Clothing,307,Nigeria,S,Red,Harmattan,2.8,Active,Same Day,Yes,NONE,0,Card,Very High,Churn Risk,Desktop,13,Bad
671,29,,Shoes,Fashion,385,UK,S,Black,Winter,3.0,No,Express,No,PROMO10,38,card,High,,mobile,14,
672,46,,Headset,Fashion,1445,France,XL,Red,Winter,2.7,,Pickup,,PROMO10,20,Crypto,High,Churn Risk,Desktop,10,
673,67,,shirt,Gadgets,1236,China,XXL,Black,Winter,2.6,,Same Day,No,WELCOME,40,Crypto,Low,Returning,Tablet,-2,Bad
674,34,F,Shirt,Electronics,1198,France,XL,red,Spring,2.3,Active,Standard,No,WELCOME,13,,Low,,Mobile,14,Bad
675,62,F,Headset,,1771,Canada,,Red,Winter,3.6,Inactive,,Yes,SALE20,29,Card,Low,VIP,Mobile,2,Will buy again
676,31,Other,,,900,China,L,Red,Autumn,2.6,Active,Standard,FALSE,WELCOME,1,Transfer,Low,Returning,Mobile,11,Bad
677,68,F,Shirt,,291,Germany,XL,White,Autumn,2.3,Active,Same Day,Yes,NONE,29,Crypto,Low,,Mobile,0,Good
678,20,Female,Bag,,172,France,L,White,,4.6,,Same Day,,SALE20,10,Card,Medium,VIP,mobile,5,Bad
679,50,F,,Gadgets,219,Nigeria,M,Black,Spring,1.7,,Express,No,WELCOME,2,Card,High,New,mobile,1,
680,27,Female,,Accessories,1144,Canada,XL,Black,Spring,1.6,Yes,,TRUE,SALE20,21,Cash,High,,,5,Late delivery
681,40,Male,Bag,Fashion,148,Canada,m,Red,Winter,4.1,No,Same Day,No,,47,Card,Low,New,Mobile,10,Will buy again
682,67,F,Laptop,Accessories,1340,Germany,M,,Autumn,1.5,,Same Day,FALSE,WELCOME,18,Card,,New,mobile,-2,Excellent
683,36,Female,Watch,Electronics,334,Nigeria,XL,Red,Winter,2.1,,,No,WELCOME,27,Card,,VIP,mobile,0,
684,51,,Bag,Electronics,1576,Canada,m,White,,2.4,Active,Same Day,TRUE,WELCOME,48,card,Very High,Churn Risk,Mobile,10,Late delivery
685,68,M,shirt,,1251,India,L,Green,,2.1,,,Yes,,27,Cash,Low,Churn Risk,mobile,1,Will buy again
686,38,,Shirt,Electronics,240,France,m,Blue,Harmattan,3.9,Inactive,Pickup,No,SALE20,2,,,VIP,mobile,10,Late delivery
687,31,Other,Headset,Accessories,1892,Germany,m,,Winter,1.8,,Same Day,FALSE,SALE20,32,Cash,Very High,Returning,Mobile,12,
688,54,Female,Watch,Fashion,473,Nigeria,M,Blue,,3.8,Yes,,Yes,PROMO10,37,card,Very High,New,,7,Good
689,60,,Shirt,Gadgets,852,China,XXL,,,2.2,Active,,FALSE,PROMO10,37,card,,New,,0,Will buy again
